""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subObsID"	"uniqObsID"	"response_component_original"	"target_pathogen_1"	"target_pathogen_2"	"target_pathogen_3"	"target_pathogen_4"	"signature_file"	"complete_signature_file"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"HELZ2"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"PRIC285"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"SLC6A12"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"SLC6A12"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"TMEM123"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"TMEM123"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"DRAP1"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"DRAP1"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"ISG20"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"ISG20"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"PLSCR1"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"PLSCR1"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"LY6E"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"LY6E"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"SAT1"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"SAT1"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"MX2"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"MX2"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"TAP1"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"TAP1"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"GAS6"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"GAS6"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"CASP5"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"CASP5"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"LYSMD2"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"LYSMD2"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"ACOT9"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"ACOT9"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"GCH1"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"GCH1"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"DYNLT1"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"DYNLT1"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"CASP4"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"CASP4"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"IFITM1"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"IFITM1"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"CD74"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"CD74"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"PARP10"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"PARP10"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"TLR7"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"TLR7"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"EIF2AK2"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"EIF2AK2"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"PANK2"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"PANK2"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"UBE2L6"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"UBE2L6"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"APOL3"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"APOL3"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"HERC6"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"HERC6"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"IL1RN"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"IL1RN"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"ZNF684"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"ZNF684"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"MYOF"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"MYOF"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"PTPRO"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"PTPRO"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"CD300A"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"CD300A"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"FZD2"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"FZD2"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"MLKL"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"MLKL"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"PPCDC"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"PPCDC"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"FGL2"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"FGL2"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
