""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"vaccine_year"	"exposure_material_text"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"publication_reference_url"	"subObsID"	"uniqObsID"	"response_agent_original"	"exposure_material_1"	"exposure_material_2"	"target_pathogen_1"	"target_pathogen_2"	"target_pathogen_3"	"target_pathogen_4"	"target_pathogen_5"	"target_pathogen_6"	"target_pathogen_7"	"signature_file"	"complete_signature_file"
""	"20111007-hipciof_gene_corr_21743478"	"2011.10.07"	"hipciof_gene_corr_34"	"peripheral blood mononuclear cell"	"FAM153CP"	"gene expression"	"negatively"	"none"	"7"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"15"	"238"	"FAM153C"	"VO_0000045"	"VO_0000046"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"Influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"Influenza A virus (A/Wisconsin/67/2005(H3N2))"	"Influenza B virus (B/Malaysia/2506/2004)"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_21743478_238.txt"	"hipciof_gene_corr_complete_21743478_238.txt"
""	"20111007-hipciof_gene_corr_21743478"	"2011.10.07"	"hipciof_gene_corr_34"	"peripheral blood mononuclear cell"	"NUP54"	"gene expression"	"negatively"	"none"	"7"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"15"	"238"	"NUP54"	"VO_0000045"	"VO_0000046"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"Influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"Influenza A virus (A/Wisconsin/67/2005(H3N2))"	"Influenza B virus (B/Malaysia/2506/2004)"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_21743478_238.txt"	"hipciof_gene_corr_complete_21743478_238.txt"
""	"20111007-hipciof_gene_corr_21743478"	"2011.10.07"	"hipciof_gene_corr_34"	"peripheral blood mononuclear cell"	"TRAF3IP3"	"gene expression"	"negatively"	"none"	"7"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"15"	"238"	"TRAF3IP3"	"VO_0000045"	"VO_0000046"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"Influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"Influenza A virus (A/Wisconsin/67/2005(H3N2))"	"Influenza B virus (B/Malaysia/2506/2004)"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_21743478_238.txt"	"hipciof_gene_corr_complete_21743478_238.txt"
""	"20111007-hipciof_gene_corr_21743478"	"2011.10.07"	"hipciof_gene_corr_34"	"peripheral blood mononuclear cell"	"CD8B"	"gene expression"	"negatively"	"none"	"7"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"15"	"238"	"CD8B"	"VO_0000045"	"VO_0000046"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"Influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"Influenza A virus (A/Wisconsin/67/2005(H3N2))"	"Influenza B virus (B/Malaysia/2506/2004)"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_21743478_238.txt"	"hipciof_gene_corr_complete_21743478_238.txt"
""	"20111007-hipciof_gene_corr_21743478"	"2011.10.07"	"hipciof_gene_corr_34"	"peripheral blood mononuclear cell"	"DUSP10"	"gene expression"	"negatively"	"none"	"7"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"15"	"238"	"DUSP10"	"VO_0000045"	"VO_0000046"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"Influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"Influenza A virus (A/Wisconsin/67/2005(H3N2))"	"Influenza B virus (B/Malaysia/2506/2004)"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_21743478_238.txt"	"hipciof_gene_corr_complete_21743478_238.txt"
""	"20111007-hipciof_gene_corr_21743478"	"2011.10.07"	"hipciof_gene_corr_34"	"peripheral blood mononuclear cell"	"TMEM63A"	"gene expression"	"negatively"	"none"	"7"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"15"	"238"	"TMEM63A"	"VO_0000045"	"VO_0000046"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"Influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"Influenza A virus (A/Wisconsin/67/2005(H3N2))"	"Influenza B virus (B/Malaysia/2506/2004)"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_21743478_238.txt"	"hipciof_gene_corr_complete_21743478_238.txt"
""	"20111007-hipciof_gene_corr_21743478"	"2011.10.07"	"hipciof_gene_corr_34"	"peripheral blood mononuclear cell"	"MPHOSPH9"	"gene expression"	"negatively"	"none"	"7"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"15"	"238"	"MPHOSPH9"	"VO_0000045"	"VO_0000046"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"Influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"Influenza A virus (A/Wisconsin/67/2005(H3N2))"	"Influenza B virus (B/Malaysia/2506/2004)"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_21743478_238.txt"	"hipciof_gene_corr_complete_21743478_238.txt"
""	"20111007-hipciof_gene_corr_21743478"	"2011.10.07"	"hipciof_gene_corr_34"	"peripheral blood mononuclear cell"	"NMT2"	"gene expression"	"negatively"	"none"	"7"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"15"	"238"	"NMT2"	"VO_0000045"	"VO_0000046"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"Influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"Influenza A virus (A/Wisconsin/67/2005(H3N2))"	"Influenza B virus (B/Malaysia/2506/2004)"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_21743478_238.txt"	"hipciof_gene_corr_complete_21743478_238.txt"
""	"20111007-hipciof_gene_corr_21743478"	"2011.10.07"	"hipciof_gene_corr_34"	"peripheral blood mononuclear cell"	"SBNO2"	"gene expression"	"negatively"	"none"	"7"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"15"	"238"	"SBNO2"	"VO_0000045"	"VO_0000046"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"Influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"Influenza A virus (A/Wisconsin/67/2005(H3N2))"	"Influenza B virus (B/Malaysia/2506/2004)"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_21743478_238.txt"	"hipciof_gene_corr_complete_21743478_238.txt"
""	"20111007-hipciof_gene_corr_21743478"	"2011.10.07"	"hipciof_gene_corr_34"	"peripheral blood mononuclear cell"	"CUL4B"	"gene expression"	"negatively"	"none"	"7"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"15"	"238"	"CUL4B"	"VO_0000045"	"VO_0000046"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"Influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"Influenza A virus (A/Wisconsin/67/2005(H3N2))"	"Influenza B virus (B/Malaysia/2506/2004)"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_21743478_238.txt"	"hipciof_gene_corr_complete_21743478_238.txt"
""	"20111007-hipciof_gene_corr_21743478"	"2011.10.07"	"hipciof_gene_corr_34"	"peripheral blood mononuclear cell"	"MAP2K7"	"gene expression"	"negatively"	"none"	"7"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"15"	"238"	"MAP2K7"	"VO_0000045"	"VO_0000046"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"Influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"Influenza A virus (A/Wisconsin/67/2005(H3N2))"	"Influenza B virus (B/Malaysia/2506/2004)"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_21743478_238.txt"	"hipciof_gene_corr_complete_21743478_238.txt"
""	"20111007-hipciof_gene_corr_21743478"	"2011.10.07"	"hipciof_gene_corr_34"	"peripheral blood mononuclear cell"	"RGS1"	"gene expression"	"negatively"	"none"	"7"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"15"	"238"	"RGS1"	"VO_0000045"	"VO_0000046"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"Influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"Influenza A virus (A/Wisconsin/67/2005(H3N2))"	"Influenza B virus (B/Malaysia/2506/2004)"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_21743478_238.txt"	"hipciof_gene_corr_complete_21743478_238.txt"
""	"20111007-hipciof_gene_corr_21743478"	"2011.10.07"	"hipciof_gene_corr_34"	"peripheral blood mononuclear cell"	"IVD"	"gene expression"	"negatively"	"none"	"7"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"15"	"238"	"IVD"	"VO_0000045"	"VO_0000046"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"Influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"Influenza A virus (A/Wisconsin/67/2005(H3N2))"	"Influenza B virus (B/Malaysia/2506/2004)"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_21743478_238.txt"	"hipciof_gene_corr_complete_21743478_238.txt"
""	"20111007-hipciof_gene_corr_21743478"	"2011.10.07"	"hipciof_gene_corr_34"	"peripheral blood mononuclear cell"	"NR4A3"	"gene expression"	"negatively"	"none"	"7"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"15"	"238"	"NR4A3"	"VO_0000045"	"VO_0000046"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"Influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"Influenza A virus (A/Wisconsin/67/2005(H3N2))"	"Influenza B virus (B/Malaysia/2506/2004)"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_21743478_238.txt"	"hipciof_gene_corr_complete_21743478_238.txt"
""	"20111007-hipciof_gene_corr_21743478"	"2011.10.07"	"hipciof_gene_corr_34"	"peripheral blood mononuclear cell"	"TLE4"	"gene expression"	"negatively"	"none"	"7"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"15"	"238"	"TLE4"	"VO_0000045"	"VO_0000046"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"Influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"Influenza A virus (A/Wisconsin/67/2005(H3N2))"	"Influenza B virus (B/Malaysia/2506/2004)"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_21743478_238.txt"	"hipciof_gene_corr_complete_21743478_238.txt"
""	"20111007-hipciof_gene_corr_21743478"	"2011.10.07"	"hipciof_gene_corr_34"	"peripheral blood mononuclear cell"	"HERC2P3"	"gene expression"	"negatively"	"none"	"7"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"15"	"238"	"HERC2P3"	"VO_0000045"	"VO_0000046"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"Influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"Influenza A virus (A/Wisconsin/67/2005(H3N2))"	"Influenza B virus (B/Malaysia/2506/2004)"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_21743478_238.txt"	"hipciof_gene_corr_complete_21743478_238.txt"
""	"20111007-hipciof_gene_corr_21743478"	"2011.10.07"	"hipciof_gene_corr_34"	"peripheral blood mononuclear cell"	"PPIA"	"gene expression"	"negatively"	"none"	"7"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"15"	"238"	"PPIA"	"VO_0000045"	"VO_0000046"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"Influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"Influenza A virus (A/Wisconsin/67/2005(H3N2))"	"Influenza B virus (B/Malaysia/2506/2004)"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_21743478_238.txt"	"hipciof_gene_corr_complete_21743478_238.txt"
""	"20111007-hipciof_gene_corr_21743478"	"2011.10.07"	"hipciof_gene_corr_34"	"peripheral blood mononuclear cell"	"EIF1"	"gene expression"	"negatively"	"none"	"7"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"15"	"238"	"EIF1"	"VO_0000045"	"VO_0000046"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"Influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"Influenza A virus (A/Wisconsin/67/2005(H3N2))"	"Influenza B virus (B/Malaysia/2506/2004)"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_21743478_238.txt"	"hipciof_gene_corr_complete_21743478_238.txt"
""	"20111007-hipciof_gene_corr_21743478"	"2011.10.07"	"hipciof_gene_corr_34"	"peripheral blood mononuclear cell"	"NGRN"	"gene expression"	"negatively"	"none"	"7"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"15"	"238"	"NGRN"	"VO_0000045"	"VO_0000046"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"Influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"Influenza A virus (A/Wisconsin/67/2005(H3N2))"	"Influenza B virus (B/Malaysia/2506/2004)"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_21743478_238.txt"	"hipciof_gene_corr_complete_21743478_238.txt"
""	"20111007-hipciof_gene_corr_21743478"	"2011.10.07"	"hipciof_gene_corr_34"	"peripheral blood mononuclear cell"	"GPS1"	"gene expression"	"negatively"	"none"	"7"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"15"	"238"	"GPS1"	"VO_0000045"	"VO_0000046"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"Influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"Influenza A virus (A/Wisconsin/67/2005(H3N2))"	"Influenza B virus (B/Malaysia/2506/2004)"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_21743478_238.txt"	"hipciof_gene_corr_complete_21743478_238.txt"
""	"20111007-hipciof_gene_corr_21743478"	"2011.10.07"	"hipciof_gene_corr_34"	"peripheral blood mononuclear cell"	"YPEL5"	"gene expression"	"negatively"	"none"	"7"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"15"	"238"	"YPEL5"	"VO_0000045"	"VO_0000046"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"Influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"Influenza A virus (A/Wisconsin/67/2005(H3N2))"	"Influenza B virus (B/Malaysia/2506/2004)"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_21743478_238.txt"	"hipciof_gene_corr_complete_21743478_238.txt"
""	"20111007-hipciof_gene_corr_21743478"	"2011.10.07"	"hipciof_gene_corr_34"	"peripheral blood mononuclear cell"	"NSFL1C"	"gene expression"	"negatively"	"none"	"7"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"15"	"238"	"NSFL1C"	"VO_0000045"	"VO_0000046"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"Influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"Influenza A virus (A/Wisconsin/67/2005(H3N2))"	"Influenza B virus (B/Malaysia/2506/2004)"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_21743478_238.txt"	"hipciof_gene_corr_complete_21743478_238.txt"
""	"20111007-hipciof_gene_corr_21743478"	"2011.10.07"	"hipciof_gene_corr_34"	"peripheral blood mononuclear cell"	"PHF3"	"gene expression"	"negatively"	"none"	"7"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"15"	"238"	"PHF3"	"VO_0000045"	"VO_0000046"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"Influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"Influenza A virus (A/Wisconsin/67/2005(H3N2))"	"Influenza B virus (B/Malaysia/2506/2004)"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_21743478_238.txt"	"hipciof_gene_corr_complete_21743478_238.txt"
""	"20111007-hipciof_gene_corr_21743478"	"2011.10.07"	"hipciof_gene_corr_34"	"peripheral blood mononuclear cell"	"CFAP20"	"gene expression"	"negatively"	"none"	"7"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"15"	"238"	"C16orf80"	"VO_0000045"	"VO_0000046"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"Influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"Influenza A virus (A/Wisconsin/67/2005(H3N2))"	"Influenza B virus (B/Malaysia/2506/2004)"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_21743478_238.txt"	"hipciof_gene_corr_complete_21743478_238.txt"
""	"20111007-hipciof_gene_corr_21743478"	"2011.10.07"	"hipciof_gene_corr_34"	"peripheral blood mononuclear cell"	"TSPYL2"	"gene expression"	"negatively"	"none"	"7"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"15"	"238"	"TSPYL2"	"VO_0000045"	"VO_0000046"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"Influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"Influenza A virus (A/Wisconsin/67/2005(H3N2))"	"Influenza B virus (B/Malaysia/2506/2004)"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_21743478_238.txt"	"hipciof_gene_corr_complete_21743478_238.txt"
""	"20111007-hipciof_gene_corr_21743478"	"2011.10.07"	"hipciof_gene_corr_34"	"peripheral blood mononuclear cell"	"PDP1"	"gene expression"	"negatively"	"none"	"7"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"15"	"238"	"PDP1"	"VO_0000045"	"VO_0000046"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"Influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"Influenza A virus (A/Wisconsin/67/2005(H3N2))"	"Influenza B virus (B/Malaysia/2506/2004)"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_21743478_238.txt"	"hipciof_gene_corr_complete_21743478_238.txt"
""	"20111007-hipciof_gene_corr_21743478"	"2011.10.07"	"hipciof_gene_corr_34"	"peripheral blood mononuclear cell"	"ANKZF1"	"gene expression"	"negatively"	"none"	"7"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"15"	"238"	"ANKZF1"	"VO_0000045"	"VO_0000046"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"Influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"Influenza A virus (A/Wisconsin/67/2005(H3N2))"	"Influenza B virus (B/Malaysia/2506/2004)"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_21743478_238.txt"	"hipciof_gene_corr_complete_21743478_238.txt"
""	"20111007-hipciof_gene_corr_21743478"	"2011.10.07"	"hipciof_gene_corr_34"	"peripheral blood mononuclear cell"	"DHX40"	"gene expression"	"negatively"	"none"	"7"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"15"	"238"	"DHX40"	"VO_0000045"	"VO_0000046"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"Influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"Influenza A virus (A/Wisconsin/67/2005(H3N2))"	"Influenza B virus (B/Malaysia/2506/2004)"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_21743478_238.txt"	"hipciof_gene_corr_complete_21743478_238.txt"
